,accident_id,date,year,icao,iata,name,state,country,country_code,lat,lon
68,ACC1151,1995-06-17,1995,FNGI,VPE,Ondjiva Airport,,Angola,AO,-17.0435009003,15.6837997437
69,ACC1152,1995-06-23,1995,MMCN,CEN,Ciudad Obregón Airport,,Mexico,MX,27.3925991058,-109.8330001831
70,ACC1155,1995-07-19,1995,KELM,ELM,Elmira Regional Airport,NY,United States of America,US,42.1598561388889,-76.8917456666667
71,ACC1160,1995-09-11,1995,OAKB,KBL,Kabul Airport,,Afghanistan,AF,34.5658988953,69.2123031616
72,ACC1161,1995-09-15,1995,WBKK,BKI,Kota Kinabalu Airport,,Malaysia,MY,5.937210083,116.0510025024
73,ACC1162,1995-09-16,1995,YSTW,TMW,Tamworth Airport,NSW,Australia,AU,-31.0839004517,150.847000122
74,ACC1163,1995-09-27,1995,xxxx,xxx,Triumph Bay,BC,Canada,CA,49.28387,-123.0458
75,ACC1164,1995-10-25,1995,USTR,TJM,Tyumen Airport,,Russia,RU,57.1896018982,65.3243026733
76,ACC1165,1995-10-31,1995,MMIO,SLW,Saltillo Airport,,Mexico,MX,25.5494995117,-100.9290008545
77,ACC1168,1995-11-13,1995,DNJO,JOS,Jos Airport,,Nigeria,NG,9.6398296356,8.8690500259
78,ACC1170,1995-12-03,1995,DBBB,COO,Cotonou Airport,,Benin,BJ,6.3572301865,2.3843500614
79,ACC1172,1995-12-22,1995,AYMD,MAG,Madang Airport,,Papua New Guinea,PG,-5.2070798874,145.789001465
80,ACC1175,1995-12-30,1995,KDSM,DSM,Des Moines Airport,IA,United States of America,US,41.5339727777778,-93.6630722222222
81,ACC118,1970-04-20,1970,xxxx,xxx,Kuban State Farm Airport,,Russia,RU,55.75696,37.61502
82,ACC1183,1996-03-09,1996,SPGU,xxx,Bagua Airport,,Peru,PE,-5.6347222328,-78.5305557251
83,ACC119,1970-04-21,1970,RPUY,CYZ,Cauayan Airport,,Philippines,PH,16.9298992157,121.752998352
84,ACC1197,1996-04-24,1996,HTDA,DAR,Dar es Salaam International Airport,,Tanzania,TZ,-6.8781099319,39.2025985718
85,ACC1200,1996-05-09,1996,CYDQ,YDQ,Dawson Creek Airport,BC,Canada,CA,55.7422981262,-120.1829986572
86,ACC1201,1996-05-11,1996,xxxx,MYX,Menyamya Airport,,Papua New Guinea,PG,-7.2116666667,146.019361111
87,ACC1203,1996-05-19,1996,EGPE,INV,Inverness Airport,,United Kingdom,GB,57.5424995422,-4.0475001335
88,ACC1207,1996-06-21,1996,ZYTL,DLC,Dalian Airport,,China,CN,38.9656982422,121.5390014648
89,ACC1209,1996-06-28,1996,DIYO,ASK,Yamoussoukro Airport,,Cote d'Ivoire,CI,6.9031701088,-5.3655800819
90,ACC1210,1996-07-09,1996,xxxx,xxx,Bosavi Airstrip,,Papua New Guinea,PG,-9.45508,147.20381
91,ACC1211,1996-07-20,1996,PAEM,EMK,Emmonak Airport,AK,United States of America,US,62.7861388888889,-164.49075
92,ACC1214,1996-08-12,1996,CYFB,YFB,Iqaluit Airport,NU,Canada,CA,63.756401062,-68.5558013916
93,ACC1215,1996-08-14,1996,xxxx,YBM,Bronson Creek Airport,BC,Canada,CA,55.73842,-120.18551
94,ACC1217,1996-08-18,1996,xxxx,YTU,Tasu Airport,BC,Canada,CA,49.15478,-121.94969
95,ACC1219,1996-09-18,1996,xxxx,xxx,Bahía Tortugas Airfield,,Mexico,MX,27.64386,-113.39289
96,ACC122,1970-04-28,1970,AYGA,GKA,Goroka Airport,,Papua New Guinea,PG,-6.0816898346,145.391998291
97,ACC1222,1996-10-22,1996,SEMT,MEC,Manta Airport,,Ecuador,EC,-0.9460780025,-80.6788024902
98,ACC1225,1996-11-14,1996,xxxx,xxx,Most Pyssa Airfield,,Russia,RU,55.75696,37.61502
99,ACC1226,1996-11-26,1996,PABE,BET,Bethel Airport,AK,United States of America,US,60.7785555555556,-161.837166666667
100,ACC123,1970-05-12,1970,KEDW,EDW,Edwards Air Force Base,CA,United States of America,US,34.9080883888889,-117.885528527778
101,ACC1235,1997-01-29,1997,PASM,xxx,St. Mary's,AK,United States of America,US,62.0608308333333,-163.301836388889
102,ACC1236,1997-01-31,1997,DNJO,JOS,Jos Airport,,Nigeria,NG,9.6398296356,8.8690500259
103,ACC1237,1997-02-14,1997,SBMA,MAB,Marabá Airport,PA,Brazil,BR,-5.3685898781,-49.1380004883
104,ACC124,1970-05-15,1970,LUKK,KIV,Chisinau Airport,,Moldova,MD,46.9277000427,28.9309997559
105,ACC1242,1997-03-18,1997,URMT,STW,Stavropol Airport,,Russia,RU,45.1091995239,42.1128005981
106,ACC1243,1997-03-25,1997,xxxx,NUP,Nunapitchuk Airport,AK,United States of America,US,60.90267,-162.44455
107,ACC1247,1997-05-15,1997,UBBG,KVD,Gyandzha Airport,,Azerbaijan,AZ,40.738833,46.32
108,ACC1249,1997-05-20,1997,KELP,ELP,El Paso International Airport,TX,United States of America,US,31.8073333333333,-106.376361111111
109,ACC1252,1997-06-06,1997,FZKA,BUX,Bunia Airport,,Democratic Republic of the Congo,CD,1.5657199621,30.2208003998
110,ACC1254,1997-06-17,1997,UUWV,TYA,Tula Airport,,Russia,RU,54.239,37.6
111,ACC1257,1997-07-21,1997,VTSP,HKT,Phuket International Airport,,Thailand,TH,8.1132001877,98.3169021606
112,ACC1264,1997-08-14,1997,KAHN,AHN,Athens Airport,GA,United States of America,US,33.9486402777778,-83.3259141666667
113,ACC1268,1997-10-08,1997,KMTJ,MTJ,Montrose County Airport,CO,United States of America,US,38.5098055555556,-107.89425
114,ACC127,1970-06-02,1970,RPLL,MNL,Manila International Airport,,Philippines,PH,14.508600235,121.019996643
115,ACC1271,1997-11-13,1997,KMSL,MSL,Muscle Shoals Airport,AL,United States of America,US,34.7453055555556,-87.6102222222222
116,ACC1277,1997-12-09,1997,CYWG,YWG,Winnipeg International Airport,MB,Canada,CA,49.9099998474,-97.2398986816
117,ACC1278,1997-12-15,1997,UTDD,DYU,Dushanbe Airport,,Tajikistan,TJ,38.5433006287,68.8249969482
118,ACC1284,1998-01-27,1998,VYTD,SNW,Thandwe Airport,,Myanmar,MM,18.4606990814,94.3001022339
119,ACC1290,1998-03-18,1998,RCPO,HSZ,Hsinchu Airport,,Taiwan,TW,24.8180007935,120.9390029907
120,ACC1291,1998-03-19,1998,OAKN,KDH,Kandahar Airport,,Afghanistan,AF,31.5058002472,65.8478012085
121,ACC1294,1998-03-28,1998,SPME,TBP,Tumbes Airport,,Peru,PE,-3.5525300503,-80.381401062
122,ACC130,1970-07-03,1970,PAMC,MCG,McGrath Airport,AK,United States of America,US,62.9527839166667,-155.607048055556
123,ACC1304,1998-05-26,1998,xxxx,ERT,Erdenet Airport,,Mongolia,MN,47.71811,107.79312
124,ACC1306,1998-07-13,1998,OMRK,RKT,Ras Al Khaimah International Airport,,United Arab Emirates,AE,25.6135005951,55.9388008118
125,ACC1309,1998-07-30,1998,VOCC,COK,Cochin Airport,,India,IN,9.9473896027,76.2731018066
126,ACC131,1970-07-18,1970,BIKF,KEF,Keflavík International Airport,,Iceland,IS,63.9850006104,-22.6056003571
127,ACC1316,1998-09-25,1998,HUEN,EBB,Entebbe Airport,,Uganda,UG,0.0423859991,32.4435005188
128,ACC1317,1998-09-25,1998,LEMG,AGP,Málaga Airport,,Spain,ES,36.6749000549,-4.4991102219
129,ACC1320,1998-10-02,1998,SVCN,CAJ,Canaima Airport,,Venezuela,VE,6.2319889069,-62.8544311523
130,ACC1323,1998-11-01,1998,xxxx,PKJ,Playa Grande Airport,,Guatemala,GT,15.9975004196,-90.7416992188
131,ACC1327,1998-11-23,1998,CYVR,YVR,Vancouver International Airport,BC,Canada,CA,49.193901062,-123.1839981079
132,ACC1329,1998-11-28,1998,EGJB,GCI,Guernsey Airport,Channel Islands,United Kingdom,GB,49.4350013733,-2.6019699574
133,ACC133,1970-08-06,1970,xxxx,RWP,Rawalpindi,,Pakistan,PK,33.58874,73.04549
134,ACC1330,1998-12-02,1998,KMEZ,xxx,Mena Intermountain Municipal Airport,AR,United States of America,US,34.54551175,-94.2024164722222
135,ACC1332,1998-12-07,1998,CYBC,YBC,Baie Comeau Airport,QC,Canada,CA,49.1324996948,-68.2043991089
136,ACC1335,1999-01-13,1999,CYVR,YVR,Vancouver International Airport,BC,Canada,CA,49.193901062,-123.1839981079
137,ACC1336,1999-01-16,1999,YHID,HID,Horn Island Airport,QLD,Australia,AU,-10.586400032,142.289993286
138,ACC1337,1999-01-18,1999,VNJL,JUM,Jumla Airport,,Nepal,NP,29.2742004395,82.1932983398
139,ACC1338,1999-02-03,1999,AYHK,HKN,Hoskins Airport,,Papua New Guinea,PG,-5.4621701241,150.4049987793
140,ACC134,1970-08-08,1970,UKWW,VIN,Vinnitsa Airport,,Ukraine,UA,49.242531,28.613778
141,ACC1340,1999-02-12,1999,KTPH,TPH,Tonopah Airport,NV,United States of America,US,38.0598936111111,-117.086600833333
142,ACC1344,1999-02-24,1999,ZUUU,CTU,Chengdu Airport,,China,CN,30.5785007477,103.9469985962
